武将,夏侯惇,吕蒙,法正,甄姬,孙策,关羽,姜维,袁术,于禁,小乔,曹操,孟获,魏延,庞统,祝融,凌统,张春华,贾诩,吕布,郭嘉,庞德,庞德,周瑜,周瑜,关羽,张辽,公孙瓒,貂蝉,高顺,黄忠,赵云,马超,典韦,徐盛,黄月英,貂蝉,贾诩,司马懿,关羽,马超,曹植,张飞,曹操,刘备,徐晃,吕蒙,周泰,甘宁,袁绍,陆逊,邓艾,孙坚,孙权,董卓,司马懿,孙尚香,孙尚香,许褚,诸葛亮,赵云,诸葛亮,吕布,张角,张角,徐庶,陈宫,大乔,夏侯渊,曹仁,太史慈,马谡,曹丕,张昭&张紘,吴国太,杨修,曹仁,荀彧,黄盖,华佗,颜良&文丑,蔡文姬,鲁肃,于吉,蔡文姬
马超,0.333,0.500,0.417,0.250,0.417,0.083,0.333,0.333,0.500,0.500,0.333,0.500,0.417,0.583,0.500,0.417,0.417,0.500,0.500,0.083,0.500,0.500,0.250,0.333,0.583,0.750,0.417,0.417,0.167,0.500,0.583,0.250,0.583,0.500,0.500,0.333,0.333,0.417,0.583,,0.417,0.500,0.833,0.417,0.500,0.667,0.583,0.667,0.667,0.667,0.583,0.500,0.667,0.333,0.750,0.750,0.750,0.667,0.417,0.833,0.833,0.583,0.583,0.667,0.667,0.583,0.833,0.917,0.833,0.750,0.750,0.583,0.917,0.833,0.750,0.750,0.667,0.750,1.000,0.833,0.917,0.917,1.000,0.833
曹植,0.500,0.250,0.333,0.417,0.250,0.333,0.583,0.417,0.250,0.333,0.417,0.417,0.500,0.250,0.750,0.417,0.583,0.417,0.250,0.500,0.583,0.417,0.333,0.500,0.417,0.417,0.500,0.583,0.417,0.500,0.250,0.500,0.250,0.500,0.667,0.500,0.750,0.500,0.333,0.583,,0.333,0.417,0.583,0.500,0.750,0.583,0.583,0.667,0.750,0.583,0.750,0.583,0.583,0.750,0.750,0.583,0.500,0.667,0.417,0.417,0.667,0.583,0.500,0.667,0.583,0.583,0.667,0.750,0.667,0.667,0.917,0.750,0.833,1.000,0.667,0.667,0.750,0.833,0.833,0.917,0.833,0.917,0.917
张飞,0.250,0.417,0.250,0.167,0.167,0.333,0.333,0.417,0.333,0.250,0.417,0.333,0.417,0.333,0.500,0.333,0.500,0.167,0.250,0.333,0.500,0.583,0.500,0.167,0.583,0.500,0.500,0.333,0.583,0.333,0.167,0.417,0.417,0.583,0.333,0.500,0.500,0.333,0.500,0.500,0.667,,0.500,0.833,0.583,0.583,0.583,0.417,0.583,0.667,0.750,0.583,0.750,0.500,0.833,0.583,0.750,0.500,0.500,0.667,0.750,0.583,0.583,0.500,0.833,0.667,0.667,0.583,0.750,0.583,0.500,0.583,0.667,0.917,0.750,0.667,0.917,1.000,0.917,1.000,0.750,0.833,0.833,1.000
曹操,0.333,0.333,0.250,0.333,0.333,0.250,0.333,0.250,0.333,0.333,0.417,0.417,0.417,0.333,0.333,0.583,0.417,0.500,0.333,0.417,0.417,0.250,0.417,0.667,0.500,0.667,0.250,0.250,0.417,0.333,0.167,0.083,0.333,0.833,0.333,0.500,0.417,0.333,0.333,0.167,0.583,0.500,,0.500,0.500,0.500,0.583,0.333,0.250,0.500,0.667,0.583,0.250,0.667,0.583,0.583,0.417,0.917,0.750,0.417,0.750,0.667,0.833,0.917,0.750,0.750,0.583,1.000,0.917,0.917,0.833,0.917,0.667,0.833,0.917,0.917,0.833,0.750,0.917,0.833,0.750,0.833,0.750,0.750
刘备,0.083,0.167,0.333,0.500,0.333,0.250,0.167,0.250,0.333,0.250,0.250,0.500,0.083,0.333,0.417,0.583,0.333,0.333,0.417,0.250,0.583,0.167,0.667,0.417,0.500,0.333,0.417,0.333,0.500,0.500,0.500,0.333,0.083,0.333,0.417,0.417,0.667,0.417,0.500,0.583,0.417,0.167,0.500,,0.333,0.500,0.417,0.500,0.667,0.167,0.667,0.500,0.750,0.500,0.417,0.750,0.750,0.750,0.500,0.417,0.583,0.500,0.833,0.750,0.750,0.750,0.333,0.833,0.833,0.583,0.583,0.917,0.750,0.833,0.750,0.750,0.917,0.833,1.000,0.917,0.833,0.833,1.000,0.750
徐晃,0.250,0.167,0.333,0.250,0.167,0.333,0.167,0.333,0.167,0.250,0.333,0.250,0.500,0.417,0.333,0.500,0.500,0.417,0.500,0.333,0.250,0.167,0.333,0.417,0.333,0.667,0.417,0.417,0.500,0.500,0.083,0.250,0.750,0.750,0.417,0.333,0.167,0.500,0.417,0.500,0.500,0.417,0.500,0.667,,0.417,0.750,0.667,0.583,0.417,0.667,0.250,0.583,0.583,0.667,0.250,0.583,0.417,0.417,0.500,0.333,0.750,0.583,0.750,0.833,0.500,0.583,0.583,0.750,0.750,0.833,1.000,0.583,0.667,0.667,0.750,0.750,0.583,0.833,0.917,0.917,0.833,0.917,0.917
吕蒙,0.167,0.333,0.417,0.417,0.250,0.167,0.083,0.333,0.583,0.333,0.083,0.333,0.167,0.583,0.333,0.333,0.083,0.333,0.167,0.333,0.167,0.167,0.250,0.333,0.333,0.250,0.167,0.583,0.500,0.500,0.500,0.333,0.333,0.417,0.750,0.583,0.667,0.750,0.417,0.333,0.250,0.417,0.500,0.500,0.583,,0.333,0.417,0.583,0.333,0.583,0.750,0.500,0.750,0.750,0.250,0.667,0.667,0.667,0.500,0.583,0.833,0.667,0.500,0.667,0.583,0.583,0.583,0.667,0.833,0.833,0.750,0.667,0.500,0.667,0.833,0.667,1.000,0.833,1.000,0.917,0.750,0.917,0.917
周泰,0.167,0.083,0.417,0.417,0.250,0.333,0.333,0.333,0.333,0.250,0.417,0.417,0.417,0.667,0.333,0.250,0.250,0.250,0.250,0.083,0.500,0.083,0.250,0.500,0.250,0.500,0.167,0.333,0.583,0.250,0.333,0.333,0.500,0.250,0.417,0.250,0.667,0.417,0.583,0.417,0.417,0.417,0.417,0.583,0.250,0.667,,0.500,0.417,0.333,0.333,0.250,0.333,0.833,0.500,0.667,0.500,0.750,0.500,0.750,0.500,0.667,0.667,0.583,0.833,0.917,0.583,0.667,0.750,0.667,0.750,0.833,0.750,0.750,0.833,0.750,0.750,0.667,0.833,1.000,0.667,0.917,0.917,0.750
甘宁,0.250,0.417,0.167,0.333,0.333,0.083,0.083,0.083,0.500,0.417,0.333,0.250,0.167,0.250,0.167,0.500,0.417,0.167,0.083,0.417,0.417,0.083,0.333,0.417,0.167,0.167,0.500,0.250,0.583,0.417,0.417,0.417,0.083,0.500,0.333,0.500,0.417,0.667,0.250,0.333,0.417,0.583,0.667,0.500,0.333,0.583,0.500,,0.667,0.667,0.417,0.667,0.500,0.500,0.500,0.500,0.417,0.583,0.167,0.500,0.417,0.833,0.583,0.667,0.750,0.583,0.667,0.917,0.667,0.750,0.667,0.917,0.750,0.833,0.833,0.917,0.667,0.833,0.917,0.917,0.917,0.917,0.833,0.833
袁绍,0.167,0.333,0.333,0.167,0.167,0.250,0.167,0.417,0.250,0.250,0.167,0.333,0.083,0.167,0.333,0.333,0.333,0.333,0.333,0.250,0.333,0.333,0.667,0.333,0.417,0.167,0.417,0.417,0.500,0.333,0.250,0.417,0.167,0.417,0.583,0.500,0.417,0.417,0.167,0.333,0.333,0.417,0.750,0.333,0.417,0.417,0.583,0.333,,0.500,0.583,0.750,0.417,0.667,0.500,0.500,0.750,0.583,0.417,0.333,0.750,0.500,0.750,0.750,0.833,0.417,0.583,0.667,0.833,0.750,0.833,0.750,0.750,0.917,0.583,1.000,0.917,0.667,0.333,1.000,0.833,0.833,0.917,0.917
陆逊,0.333,0.333,0.083,0.083,0.167,0.583,0.333,0.500,0.250,0.167,0.083,0.250,0.333,0.333,0.250,0.333,0.500,0.333,0.333,0.750,0.417,0.250,0.250,0.250,0.583,0.583,0.417,0.250,0.583,0.250,0.167,0.583,0.167,0.250,0.417,0.333,0.333,0.500,0.333,0.333,0.250,0.333,0.500,0.833,0.583,0.667,0.667,0.333,0.500,,0.417,0.500,0.417,0.667,0.583,0.833,0.750,0.250,0.583,0.250,0.583,0.667,0.500,0.500,0.583,0.667,0.750,0.583,0.583,0.750,0.833,0.750,0.750,0.833,0.750,0.750,0.500,0.667,0.333,0.917,0.667,0.833,1.000,0.833
邓艾,0.333,0.083,0.333,0.250,0.417,0.167,0.250,0.167,0.250,0.167,0.583,0.250,0.167,0.250,0.167,0.083,0.500,0.250,0.667,0.167,0.167,0.250,0.583,0.333,0.417,0.250,0.417,0.417,0.417,0.333,0.417,0.500,0.417,0.417,0.250,0.667,0.333,0.417,0.417,0.417,0.417,0.250,0.333,0.333,0.333,0.417,0.667,0.583,0.417,0.583,,0.417,0.333,0.667,0.500,0.667,0.417,0.750,0.583,0.583,0.500,0.583,0.833,0.917,0.500,0.750,0.583,0.583,0.667,0.917,0.750,0.583,0.667,0.750,0.667,0.500,0.667,0.750,0.667,0.833,0.833,0.917,0.750,1.000
孙坚,0.167,0.083,0.083,0.250,0.250,0.250,0.250,0.167,0.167,0.333,0.250,0.167,0.417,0.250,0.167,0.333,0.167,0.167,0.167,0.167,0.333,0.417,0.333,0.500,0.417,0.417,0.333,0.417,0.583,0.083,0.333,0.333,0.333,0.500,0.333,0.417,0.167,0.500,0.500,0.500,0.250,0.417,0.417,0.500,0.750,0.250,0.750,0.333,0.250,0.500,0.583,,0.417,0.583,0.500,0.500,0.500,0.750,0.667,0.667,0.667,0.667,0.500,0.667,0.583,0.750,0.667,0.833,0.500,0.833,0.667,0.750,0.750,0.667,0.833,0.833,0.583,0.833,0.667,0.917,0.750,0.917,0.833,0.917
孙权,0.167,0.250,0.333,0.167,0.250,0.250,0.250,0.333,0.417,0.417,0.417,0.333,0.417,0.250,0.167,0.167,0.167,0.417,0.333,0.417,0.333,0.500,0.417,0.333,0.250,0.500,0.250,0.333,0.333,0.417,0.083,0.167,0.333,0.417,0.167,0.167,0.333,0.583,0.583,0.333,0.417,0.250,0.750,0.250,0.417,0.500,0.667,0.500,0.583,0.583,0.667,0.583,,0.333,0.250,0.583,0.500,0.583,0.417,0.833,0.417,0.417,0.583,0.667,0.500,0.583,0.750,0.833,0.833,0.750,0.667,0.583,0.917,0.667,0.500,0.667,0.833,0.750,0.417,0.833,0.833,0.917,0.917,0.833
董卓,0.167,0.333,0.333,0.333,0.250,0.250,0.333,0.333,0.250,0.250,0.583,0.083,0.167,0.250,0.167,0.417,0.250,0.500,0.167,0.333,0.250,0.333,0.250,0.667,0.250,0.250,0.250,0.333,0.500,0.583,0.250,0.250,0.583,0.167,0.667,0.333,0.417,0.250,0.500,0.667,0.417,0.500,0.333,0.500,0.417,0.250,0.167,0.500,0.333,0.333,0.333,0.417,0.667,,0.500,0.583,0.417,0.750,0.417,0.583,0.333,0.667,0.667,0.417,0.500,0.583,0.583,0.750,0.583,0.750,0.500,0.583,0.500,0.917,0.583,0.583,0.750,0.917,0.750,0.667,0.833,0.750,0.750,0.833
司马懿,0.250,0.167,0.333,0.083,0.167,0.167,0.167,0.250,0.167,0.250,0.167,0.250,0.250,0.167,0.250,0.167,0.417,0.417,0.333,0.250,0.333,0.250,0.333,0.333,0.250,0.333,0.417,0.583,0.250,0.333,0.500,0.417,0.333,0.083,0.250,0.417,0.417,0.417,0.417,0.250,0.250,0.167,0.417,0.583,0.333,0.250,0.500,0.500,0.500,0.417,0.500,0.500,0.750,0.500,,0.500,0.583,0.500,0.500,0.417,0.583,0.750,0.667,0.583,0.333,0.583,0.750,0.917,0.583,0.833,0.750,0.833,0.667,0.583,0.583,0.833,0.917,0.833,0.750,0.750,0.833,0.750,0.917,0.750
孙尚香,0.333,0.167,0.167,0.167,0.250,0.250,0.333,0.250,0.167,0.167,0.167,0.167,0.333,0.583,0.500,0.250,0.333,0.083,0.417,0.250,0.417,0.333,0.417,0.250,0.250,0.333,0.250,0.583,0.333,0.333,0.333,0.333,0.250,0.333,0.583,0.583,0.250,0.333,0.250,0.250,0.250,0.417,0.417,0.250,0.750,0.750,0.333,0.500,0.500,0.167,0.333,0.500,0.417,0.417,0.500,,0.583,0.250,0.250,0.417,0.417,0.750,0.500,0.833,0.417,0.667,0.917,0.417,0.833,0.500,0.667,0.667,0.750,0.667,0.417,0.917,0.417,0.583,1.000,0.917,0.917,0.917,0.833,0.917
孙尚香,0.083,0.167,0.083,0.167,0.417,0.333,0.417,0.083,0.417,0.167,0.333,0.250,0.417,0.250,0.167,0.417,0.333,0.333,0.250,0.500,0.500,0.083,0.333,0.250,0.250,0.417,0.417,0.667,0.167,0.667,0.167,0.083,0.250,0.333,0.250,0.500,0.333,0.417,0.333,0.250,0.417,0.250,0.583,0.250,0.417,0.333,0.500,0.583,0.250,0.250,0.583,0.500,0.500,0.583,0.417,0.417,,0.250,0.500,0.500,0.667,0.500,0.750,0.750,0.583,0.667,0.750,0.333,0.667,0.583,0.750,0.917,0.583,0.833,0.583,0.750,0.583,0.583,1.000,0.833,0.583,0.750,0.833,0.917
许褚,0.167,0.167,0.250,0.083,0.333,0.250,0.417,0.250,0.083,0.083,0.417,0.167,0.000,0.167,0.333,0.417,0.250,0.500,0.333,0.333,0.500,0.250,0.167,0.417,0.583,0.417,0.167,0.583,0.417,0.083,0.167,0.333,0.333,0.417,0.417,0.500,0.250,0.667,0.500,0.333,0.500,0.500,0.083,0.250,0.583,0.333,0.250,0.417,0.417,0.750,0.250,0.250,0.417,0.250,0.500,0.750,0.750,,0.417,0.667,0.500,0.583,0.667,0.583,0.583,0.667,0.667,0.750,0.750,0.500,0.667,0.250,0.500,0.333,0.583,0.667,0.750,0.917,0.833,0.667,0.750,0.667,1.000,0.917
诸葛亮,0.083,0.083,0.000,0.167,0.167,0.083,0.333,0.333,0.167,0.250,0.500,0.333,0.333,0.167,0.083,0.167,0.333,0.417,0.250,0.333,0.167,0.333,0.083,0.167,0.167,0.167,0.667,0.417,0.333,0.417,0.417,0.583,0.583,0.083,0.333,0.417,0.500,0.250,0.417,0.583,0.333,0.500,0.250,0.500,0.583,0.333,0.500,0.833,0.583,0.417,0.417,0.333,0.583,0.583,0.500,0.750,0.500,0.583,,0.167,0.583,0.583,0.333,0.750,0.500,0.750,0.583,0.750,0.583,0.750,0.667,0.667,0.583,0.500,0.833,0.500,0.500,0.583,0.583,0.833,0.750,0.833,0.750,0.667
赵云,0.000,0.000,0.083,0.167,0.500,0.250,0.167,0.500,0.500,0.167,0.250,0.250,0.500,0.333,0.417,0.083,0.500,0.333,0.417,0.167,0.333,0.250,0.250,0.333,0.333,0.333,0.250,0.500,0.250,0.167,0.500,0.250,0.250,0.583,0.083,0.333,0.500,0.333,0.417,0.167,0.583,0.333,0.583,0.583,0.500,0.500,0.250,0.500,0.667,0.750,0.417,0.333,0.167,0.417,0.583,0.583,0.500,0.333,0.833,,0.500,0.333,0.500,0.750,0.250,0.667,0.583,0.583,0.667,0.583,0.500,0.833,0.500,0.833,0.583,0.500,0.417,0.417,0.500,0.667,0.917,0.917,0.750,0.667
诸葛亮,0.083,0.333,0.250,0.417,0.167,0.000,0.583,0.000,0.250,0.000,0.167,0.333,0.333,0.167,0.083,0.250,0.417,0.250,0.417,0.083,0.250,0.167,0.083,0.250,0.583,0.667,0.500,0.333,0.417,0.333,0.167,0.167,0.333,0.250,0.333,0.417,0.167,0.333,0.250,0.167,0.583,0.250,0.250,0.417,0.667,0.417,0.500,0.583,0.250,0.417,0.500,0.333,0.583,0.667,0.417,0.583,0.333,0.500,0.417,0.500,,0.583,0.500,0.333,0.500,0.667,0.500,0.667,0.500,0.833,0.583,0.500,0.583,0.750,0.583,0.583,0.500,0.583,0.667,0.583,0.917,0.833,0.833,0.667
吕布,0.167,0.333,0.167,0.167,0.000,0.167,0.250,0.250,0.333,0.167,0.167,0.333,0.083,0.000,0.167,0.167,0.250,0.417,0.167,0.167,0.417,0.417,0.500,0.333,0.417,0.083,0.250,0.417,0.250,0.667,0.417,0.333,0.667,0.500,0.500,0.250,0.167,0.167,0.417,0.417,0.333,0.417,0.333,0.500,0.250,0.167,0.333,0.167,0.500,0.333,0.417,0.333,0.583,0.333,0.250,0.250,0.500,0.417,0.417,0.667,0.417,,0.667,0.667,0.417,0.417,0.333,0.583,0.500,0.667,0.500,0.583,0.667,0.417,0.667,0.500,0.750,0.833,0.833,0.750,0.583,0.583,0.750,0.583
张角,0.083,0.333,0.500,0.167,0.083,0.417,0.250,0.333,0.250,0.167,0.333,0.250,0.333,0.417,0.083,0.083,0.083,0.167,0.333,0.667,0.250,0.333,0.417,0.250,0.167,0.250,0.167,0.167,0.167,0.083,0.417,0.167,0.333,0.500,0.167,0.417,0.250,0.167,0.333,0.417,0.417,0.417,0.167,0.167,0.417,0.333,0.333,0.417,0.250,0.500,0.167,0.500,0.417,0.333,0.333,0.500,0.250,0.333,0.667,0.500,0.500,0.333,,0.500,0.583,0.583,0.583,0.583,0.583,0.500,0.417,0.667,0.500,0.583,0.750,0.500,0.583,0.667,0.583,0.750,0.917,0.917,0.583,0.500
张角,0.083,0.333,0.000,0.333,0.167,0.167,0.167,0.333,0.250,0.250,0.250,0.083,0.167,0.000,0.250,0.250,0.083,0.500,0.250,0.167,0.500,0.500,0.417,0.333,0.167,0.167,0.250,0.333,0.083,0.250,0.417,0.333,0.333,0.083,0.083,0.750,0.167,0.250,0.417,0.333,0.500,0.500,0.083,0.250,0.250,0.500,0.417,0.333,0.250,0.500,0.083,0.333,0.333,0.583,0.417,0.167,0.250,0.417,0.250,0.250,0.667,0.333,0.500,,0.583,0.500,0.417,0.417,0.750,0.500,0.333,0.667,0.583,0.417,0.417,0.750,0.667,0.583,0.583,0.750,0.750,0.667,0.667,0.750
徐庶,0.333,0.083,0.250,0.167,0.333,0.167,0.000,0.083,0.250,0.000,0.167,0.000,0.167,0.167,0.167,0.000,0.167,0.167,0.333,0.083,0.333,0.333,0.250,0.250,0.250,0.000,0.083,0.167,0.250,0.167,0.250,0.333,0.250,0.083,0.167,0.250,0.167,0.000,0.250,0.333,0.333,0.167,0.250,0.250,0.167,0.333,0.167,0.250,0.167,0.417,0.500,0.417,0.500,0.500,0.667,0.583,0.417,0.417,0.500,0.750,0.500,0.583,0.417,0.417,,0.417,0.667,0.417,0.500,0.500,0.333,0.417,0.583,0.667,0.583,0.583,0.583,0.833,0.667,0.667,0.917,0.750,0.750,0.833
陈宫,0.083,0.083,0.000,0.083,0.083,0.250,0.083,0.333,0.167,0.167,0.250,0.250,0.250,0.417,0.500,0.250,0.417,0.083,0.000,0.167,0.167,0.167,0.250,0.333,0.167,0.250,0.250,0.083,0.083,0.167,0.083,0.167,0.500,0.167,0.333,0.167,0.167,0.333,0.167,0.417,0.417,0.333,0.250,0.250,0.500,0.417,0.083,0.417,0.583,0.333,0.250,0.250,0.417,0.417,0.417,0.333,0.333,0.333,0.250,0.333,0.333,0.583,0.417,0.500,0.583,,0.417,0.417,0.750,0.417,0.250,0.500,0.833,0.417,0.500,0.417,0.417,0.667,0.750,0.583,0.500,0.667,0.917,0.750
大乔,0.083,0.000,0.250,0.083,0.167,0.250,0.083,0.083,0.083,0.250,0.250,0.000,0.250,0.250,0.167,0.167,0.083,0.083,0.250,0.417,0.333,0.167,0.250,0.167,0.250,0.000,0.167,0.333,0.167,0.167,0.167,0.083,0.333,0.083,0.250,0.250,0.333,0.167,0.333,0.167,0.417,0.333,0.417,0.667,0.417,0.417,0.417,0.333,0.417,0.250,0.417,0.333,0.250,0.417,0.250,0.083,0.250,0.333,0.417,0.417,0.500,0.667,0.417,0.583,0.333,0.583,,0.417,0.583,0.667,0.667,0.667,0.583,0.250,0.500,0.750,0.417,0.417,0.583,0.500,0.750,0.583,0.750,0.833
夏侯渊,0.083,0.167,0.083,0.083,0.083,0.167,0.167,0.333,0.333,0.167,0.250,0.167,0.083,0.000,0.000,0.333,0.250,0.500,0.167,0.167,0.167,0.083,0.083,0.333,0.333,0.167,0.000,0.417,0.250,0.333,0.333,0.250,0.333,0.250,0.333,0.500,0.583,0.333,0.250,0.083,0.333,0.417,0.000,0.167,0.417,0.417,0.333,0.083,0.333,0.417,0.417,0.167,0.167,0.250,0.083,0.583,0.667,0.250,0.250,0.417,0.333,0.417,0.417,0.583,0.583,0.583,0.583,,0.333,0.417,0.500,0.333,0.500,0.333,0.750,0.417,0.667,0.750,0.083,0.583,0.833,0.750,1.000,0.667
曹仁,0.167,0.000,0.083,0.000,0.250,0.000,0.083,0.167,0.083,0.000,0.250,0.250,0.083,0.167,0.250,0.250,0.167,0.250,0.250,0.250,0.250,0.167,0.167,0.333,0.167,0.333,0.167,0.250,0.250,0.250,0.083,0.333,0.167,0.417,0.083,0.250,0.250,0.250,0.250,0.167,0.250,0.250,0.083,0.167,0.250,0.333,0.250,0.333,0.167,0.417,0.333,0.500,0.167,0.417,0.417,0.167,0.333,0.250,0.417,0.333,0.500,0.500,0.417,0.250,0.500,0.250,0.417,0.667,,0.750,0.333,0.583,0.750,0.583,0.500,0.583,0.917,0.500,1.000,0.917,0.667,0.583,0.583,0.917
太史慈,0.083,0.083,0.083,0.167,0.167,0.083,0.083,0.083,0.417,0.167,0.250,0.083,0.167,0.167,0.167,0.333,0.167,0.333,0.417,0.250,0.167,0.083,0.167,0.250,0.167,0.083,0.250,0.000,0.417,0.167,0.500,0.500,0.167,0.250,0.250,0.167,0.083,0.417,0.500,0.250,0.333,0.417,0.083,0.417,0.250,0.167,0.333,0.250,0.250,0.250,0.083,0.167,0.250,0.250,0.167,0.500,0.417,0.500,0.250,0.417,0.167,0.333,0.500,0.500,0.500,0.583,0.333,0.583,0.250,,0.667,0.417,0.583,0.667,0.250,0.250,0.417,0.833,1.000,0.583,0.917,0.583,0.833,0.833
马谡,0.167,0.000,0.083,0.250,0.167,0.250,0.083,0.417,0.167,0.000,0.333,0.083,0.250,0.250,0.250,0.250,0.500,0.167,0.083,0.250,0.167,0.250,0.167,0.167,0.083,0.417,0.167,0.083,0.250,0.333,0.250,0.083,0.083,0.250,0.167,0.167,0.500,0.333,0.167,0.250,0.333,0.500,0.167,0.417,0.167,0.167,0.250,0.333,0.167,0.167,0.250,0.333,0.333,0.500,0.250,0.333,0.250,0.333,0.333,0.500,0.417,0.500,0.583,0.667,0.667,0.750,0.333,0.500,0.667,0.333,,0.250,0.250,0.500,0.333,0.500,0.500,0.583,0.333,0.667,0.833,0.583,0.583,0.750
曹丕,0.083,0.167,0.167,0.250,0.250,0.083,0.167,0.250,0.167,0.083,0.083,0.250,0.250,0.083,0.000,0.167,0.167,0.500,0.083,0.167,0.167,0.333,0.083,0.000,0.167,0.167,0.167,0.583,0.250,0.250,0.250,0.417,0.000,0.333,0.500,0.417,0.250,0.250,0.333,0.417,0.083,0.417,0.083,0.083,0.000,0.250,0.167,0.083,0.250,0.250,0.417,0.250,0.417,0.417,0.167,0.333,0.083,0.750,0.333,0.167,0.500,0.417,0.333,0.333,0.583,0.500,0.333,0.667,0.417,0.583,0.750,,0.667,0.417,0.500,0.500,0.667,0.583,0.667,0.500,0.667,0.500,0.750,0.417
张昭&张紘,0.167,0.000,0.250,0.000,0.083,0.083,0.167,0.000,0.167,0.167,0.000,0.167,0.000,0.083,0.333,0.167,0.167,0.333,0.083,0.167,0.333,0.250,0.167,0.500,0.250,0.250,0.083,0.333,0.167,0.333,0.417,0.083,0.167,0.250,0.167,0.333,0.250,0.250,0.333,0.083,0.250,0.333,0.333,0.250,0.417,0.333,0.250,0.250,0.250,0.250,0.333,0.250,0.083,0.500,0.333,0.250,0.417,0.500,0.417,0.500,0.417,0.333,0.500,0.417,0.417,0.167,0.417,0.500,0.250,0.417,0.750,0.333,,0.583,0.500,0.667,0.417,0.583,0.750,0.667,0.583,0.500,0.667,0.833
吴国太,0.167,0.000,0.000,0.083,0.167,0.250,0.167,0.333,0.167,0.167,0.250,0.250,0.000,0.167,0.333,0.083,0.333,0.167,0.417,0.167,0.333,0.250,0.167,0.417,0.250,0.250,0.167,0.333,0.250,0.083,0.333,0.083,0.083,0.333,0.417,0.167,0.333,0.083,0.333,0.167,0.167,0.083,0.167,0.167,0.333,0.500,0.250,0.167,0.083,0.167,0.250,0.333,0.333,0.083,0.417,0.333,0.167,0.667,0.500,0.167,0.250,0.583,0.417,0.583,0.333,0.583,0.750,0.667,0.417,0.333,0.500,0.583,0.417,,0.500,0.500,0.500,0.333,0.583,0.500,0.833,0.500,0.500,0.750
杨修,0.167,0.167,0.083,0.083,0.083,0.000,0.167,0.167,0.083,0.000,0.167,0.167,0.083,0.167,0.167,0.167,0.167,0.083,0.333,0.083,0.250,0.250,0.167,0.167,0.083,0.167,0.083,0.250,0.250,0.417,0.083,0.167,0.167,0.083,0.333,0.167,0.333,0.250,0.250,0.250,0.000,0.250,0.083,0.250,0.333,0.333,0.167,0.167,0.417,0.250,0.333,0.167,0.500,0.417,0.417,0.583,0.417,0.417,0.167,0.417,0.417,0.333,0.250,0.583,0.417,0.500,0.500,0.250,0.500,0.750,0.667,0.500,0.500,0.500,,0.583,0.583,0.917,0.667,0.667,0.667,0.750,0.750,0.583
曹仁,0.083,0.083,0.250,0.083,0.083,0.083,0.083,0.333,0.083,0.083,0.083,0.167,0.167,0.333,0.083,0.083,0.333,0.000,0.250,0.250,0.167,0.167,0.167,0.250,0.083,0.167,0.250,0.000,0.167,0.250,0.333,0.083,0.333,0.250,0.083,0.167,0.083,0.333,0.250,0.250,0.333,0.333,0.083,0.250,0.250,0.167,0.250,0.083,0.000,0.250,0.500,0.167,0.333,0.417,0.167,0.083,0.250,0.333,0.500,0.500,0.417,0.500,0.500,0.250,0.417,0.583,0.250,0.583,0.417,0.750,0.500,0.500,0.333,0.500,0.417,,1.000,0.667,1.000,0.583,0.750,0.750,0.833,0.833
荀彧,0.083,0.167,0.167,0.000,0.000,0.167,0.083,0.167,0.000,0.083,0.000,0.083,0.167,0.417,0.167,0.083,0.083,0.083,0.083,0.417,0.000,0.333,0.167,0.250,0.333,0.167,0.083,0.417,0.417,0.167,0.250,0.333,0.167,0.167,0.250,0.167,0.083,0.417,0.250,0.333,0.333,0.083,0.167,0.083,0.250,0.333,0.250,0.333,0.083,0.500,0.333,0.417,0.167,0.250,0.083,0.583,0.417,0.250,0.500,0.583,0.500,0.250,0.417,0.333,0.417,0.583,0.583,0.333,0.083,0.583,0.500,0.333,0.583,0.500,0.417,0.000,,0.500,0.583,0.500,0.667,0.750,0.667,0.583
黄盖,0.083,0.333,0.083,0.250,0.167,0.083,0.167,0.083,0.083,0.250,0.000,0.000,0.417,0.000,0.167,0.333,0.333,0.083,0.083,0.250,0.167,0.000,0.167,0.333,0.000,0.250,0.250,0.000,0.333,0.167,0.167,0.417,0.083,0.250,0.250,0.167,0.167,0.250,0.167,0.250,0.250,0.000,0.250,0.167,0.417,0.000,0.333,0.167,0.333,0.333,0.250,0.167,0.250,0.083,0.167,0.417,0.417,0.083,0.417,0.583,0.417,0.167,0.333,0.417,0.167,0.333,0.583,0.250,0.500,0.167,0.417,0.417,0.417,0.667,0.083,0.333,0.500,,0.583,0.333,0.500,0.750,0.583,0.333
华佗,0.083,0.000,0.083,0.083,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.083,0.000,0.167,0.083,0.083,0.167,0.083,0.000,0.083,0.083,0.083,0.000,0.417,0.333,0.000,0.083,0.083,0.167,0.167,0.083,0.000,0.250,0.000,0.000,0.000,0.333,0.250,0.167,0.000,0.167,0.083,0.083,0.000,0.167,0.167,0.167,0.083,0.667,0.667,0.333,0.333,0.583,0.250,0.250,0.000,0.000,0.167,0.417,0.500,0.333,0.167,0.417,0.417,0.333,0.250,0.417,0.833,0.000,0.000,0.667,0.333,0.250,0.417,0.333,0.000,0.417,0.417,,0.333,0.500,0.833,0.750,0.917
